"cc","year","iso","wic_mys","country","age","sex","educ","weighted_OECD_avg","n_OECD","mean_country","n_country","mys","adj_factor","qamys_piaac","highLS","prop_19","prop_20_64","prop_65","illiterate_prop","hlo_mean","qamys_dhs_full","qamys_dhs_part","qamys"
"Greece",2015,300,11.78,"Greece",0,0,0,262.45345050269,182648,253.42,4693,11.78,0.965580751613714,11.3745412540095,73,0.195287846101731,0.605234537966446,0.199477615931823,2.0640488,477.87,NA,NA,11.3745412540095
"Grenada",2015,308,10.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.4,0.35607476635514,0.57196261682243,0.0719626168224299,1.4000015,NA,NA,NA,NA
"Guadeloupe",2015,312,10.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.7,0.270426287744227,0.565719360568384,0.163854351687389,4,NA,NA,NA,NA
"Guam",2015,316,10.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.3,0.341779975278121,0.569221260815822,0.0889987639060569,9,NA,NA,NA,NA
"Guatemala",2015,320,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.9,0.474729886047599,0.48019369446974,0.045076419482661,21.136856,389.02,4.9334662754,5.5271393704,3.94677302032
"Guinea",2015,324,4.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7,0.533294184786654,0.436153407164184,0.0305524080491618,71.344208,NA,1.14146470053,1.64928144996,0.913171760424
"Guinea-Bissau",2015,624,4.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,0.522139387778154,0.449056816898227,0.0288037953236191,54.418839,NA,NA,NA,NA
"Guyana",2015,328,10.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.1,0.407624251886547,0.542024460057247,0.0503512880562061,14.360268,NA,8.99645340978,9.44426855546,7.197162727824
"Haiti",2015,332,5.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7,0.441994882999981,0.511690664276243,0.0463144527237754,38.308651,NA,3.92517063817,4.64914207491,3.140136510536
"Honduras",2015,340,5.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.7,0.438967502901527,0.516884653155968,0.0441478439425051,11.966817,363.71,5.41178850114,5.47453159062,4.329430800912
"Hong Kong Special Administrative Region of China",2015,344,12.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,0.161366020650433,0.686433659102203,0.152200320247363,2.87817159145408,605.4,NA,NA,NA
"Hungary",2015,348,12.41,"Hungary",0,0,0,262.45345050269,182648,263.74,5779,12.41,1.00490201022256,12.470833946862,83.5,0.196871965244058,0.628142090467672,0.17498594428827,0.90000153,522.5,NA,NA,12.470833946862
"Iceland",2015,352,13.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.7,0.269452013321223,0.593399939448986,0.137148047229791,0.401437399192008,511.8,NA,NA,NA
"India",2015,356,6.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.6,0.380775689050946,0.562864359525486,0.0563599514235678,25.627007,378.54,5.0458021602,5.43208106116,4.03664172816
"Indonesia",2015,360,9.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.6,0.365713617303776,0.583339724178854,0.0509466585173703,4.5821786,396.71,8.58471725616,8.78627945214,6.867773804928
"Iran (Islamic Republic of)",2015,364,9.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.1,0.305504068103723,0.644150234434164,0.0503456974621131,14.45575,433.92,NA,NA,NA
"Iraq",2015,368,7.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.4,0.511901103312707,0.457363954760026,0.0307349419272672,15.549999,NA,NA,NA,NA
"Ireland",2015,372,12.63,"Ireland",0,0,0,262.45345050269,182648,266.48,5646,12.63,1.01534195679119,12.8237689142727,78.6,0.274823939916172,0.592881002531861,0.132295057551967,0.401437399192008,535.42,NA,NA,12.8237689142727
"Israel",2015,376,11.86,"Israel",0,0,0,262.45345050269,182648,254.13,4903,11.86,0.968285993242811,11.4838718798597,65.6,0.356041720926195,0.531706167603031,0.112252111470774,1.57162168711461,514.24,NA,NA,11.4838718798597
"Italy",2015,380,11.94,"Italy",0,0,0,262.45345050269,182648,249.2,4398,11.94,0.949501709818236,11.3370504152297,62.1,0.184129240862861,0.592241918244701,0.223628840892438,0.84423828,500.75,NA,NA,11.3370504152297
"Jamaica",2015,388,10.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.7,0.33098861301668,0.575965456001671,0.0930459309816485,11.900002,NA,NA,NA,NA
