"cc","year","iso","wic_mys","adj_factor","qamys_piaac","highLS","prop_19","prop_20_64","prop_65","country","illiterate_prop","hlo_mean","qamys_dhs_full","qamys_dhs_part","tot_dep","youth_dep","old_dep","sex_ratio","qamys","adj_fact_dhs","fit2","lwr2","upr2","plot","qamys_pred"
"Haiti",2015,332,5.71,0.5499363416,NA,0.237,0.441994882999981,0.511690664276243,0.0463144527237754,"Haiti",0.38308651,NA,3.92517063817,4.64914207491,0.62,0.55,0.08,0.98,3.140136510536,0.5499363416,2.2849430659923,2.19251936402614,2.38126280683742,3,3.140136510536
"Honduras",2015,340,5.91,0.7325602032,NA,0.177,0.438967502901527,0.516884653155968,0.0441478439425051,"Honduras",0.11966817,363.71,5.41178850114,5.47453159062,0.6,0.53,0.07,0.99,4.329430800912,0.7325602032,3.90100088927958,3.74576429662168,4.06267098863777,3,4.329430800912
"Hong Kong Special Administrative Region of China",2015,344,12.54,NA,NA,0.67,0.161366020650433,0.686433659102203,0.152200320247363,"Hong Kong",0.028321025,605.4,NA,NA,0.36,0.15,0.21,0.86,NA,NA,11.4920064003651,11.0719010047314,11.9280520165051,1,11.4920064003651
"Hungary",2015,348,12.41,1.00490201022256,12.470833946862,0.835,0.196871965244058,0.628142090467672,0.17498594428827,"Hungary",0.0040396068,522.5,NA,NA,0.47,0.21,0.26,0.91,12.470833946862,1.00490201022256,12.581566009617,11.9993764483429,13.1920024291105,1,12.470833946862
"Iceland",2015,352,13.57,NA,NA,0.697,0.269452013321223,0.593399939448986,0.137148047229791,"Iceland",0.004014374,511.8,NA,NA,0.52,0.31,0.21,1.01,NA,NA,13.0366396286789,12.5463292019258,13.5461113822802,1,13.0366396286789
"India",2015,356,6.94,0.581648664,NA,0.356,0.380775689050946,0.562864359525486,0.0563599514235678,"India",0.25627007,378.54,5.0458021602,5.43208106116,0.52,0.44,0.09,1.08,4.03664172816,0.581648664,3.59061582201839,3.48106474392927,3.70361453455079,3,4.03664172816
"Indonesia",2015,360,9.06,0.7580324288,NA,0.396,0.365713617303776,0.583339724178854,0.0509466585173703,"Indonesia",0.045821786,396.71,8.58471725616,8.78627945214,0.49,0.42,0.08,1.01,6.867773804928,0.7580324288,6.97653500652129,6.65766846680275,7.31067353983024,2,6.867773804928
"Iran (Islamic Republic of)",2015,364,9.19,NA,NA,0.471,0.305504068103723,0.644150234434164,0.0503456974621131,"Iran",0.1445575,433.92,NA,NA,0.4,0.33,0.07,1.01,NA,NA,5.77996839362942,5.56337730626211,6.00499171496982,2,5.77996839362942
"Iraq",2015,368,7.82,NA,NA,0.264,0.511901103312707,0.457363954760026,0.0307349419272672,"Iraq",0.15549999,NA,NA,NA,0.78,0.72,0.05,1.02,NA,NA,4.71231370756461,4.51588799045329,4.91728327306727,3,4.71231370756461
"Ireland",2015,372,12.63,1.01534195679119,12.8237689142727,0.786,0.274823939916172,0.592881002531861,0.132295057551967,"Ireland",0.004014374,535.42,NA,NA,0.54,0.33,0.2,0.98,12.8237689142727,1.01534195679119,12.0035439945104,11.5627878145969,12.4611011408732,1,12.8237689142727
"Israel",2015,376,11.86,0.968285993242808,11.4838718798597,0.656,0.356041720926195,0.531706167603031,0.112252111470774,"Israel",0.015797259,514.24,NA,NA,0.64,0.46,0.18,0.98,11.4838718798597,0.968285993242808,10.78201589191,10.4046228850866,11.1730975718522,1,11.4838718798597
"Italy",2015,380,11.94,0.949501709818233,11.3370504152297,0.621,0.184129240862861,0.592241918244701,0.223628840892438,"Italy",0.0084423828,500.75,NA,NA,0.56,0.21,0.35,0.95,11.3370504152297,0.949501709818233,13.2243192700898,12.2826499035692,14.2381832528216,1,11.3370504152297
"Jamaica",2015,388,10.39,NA,NA,0.347,0.33098861301668,0.575965456001671,0.0930459309816485,"Jamaica",0.079913483,NA,NA,NA,0.49,0.35,0.14,0.99,NA,NA,7.98858953793879,7.74058910852877,8.24453564333357,2,7.98858953793879
"Japan",2015,392,13.81,1.12900020720803,15.5914928615429,0.936,0.176665575284651,0.563174999589755,0.260159425125594,"Japan",0.002007187,590.89,NA,NA,0.64,0.21,0.43,0.96,15.5914928615429,1.12900020720803,16.8820097873292,15.2646256459542,18.670766061991,1,15.5914928615429
"Jordan",2015,400,9.97,0.7386008128,NA,0.532,0.460936305871564,0.501430224687207,0.0376334694412298,"Jordan",0.017728882,387.01,9.20481262952,9.77116647546,0.66,0.6,0.06,1.03,7.363850103616,0.7386008128,7.93462160016108,7.50061620670066,8.39373968788047,2,7.363850103616
"Kazakhstan",2015,398,11.31,0.949768423781671,10.7418808729707,0.914,0.331415789592301,0.60104009375493,0.0675441166527687,"Kazakhstan",0.0021836853,536.11,NA,NA,0.5,0.4,0.1,0.94,10.7418808729707,0.949768423781671,9.68534371780626,9.23380603405708,10.1589618177017,1,10.7418808729707
"Kenya",2015,404,8.28,0.650944385272042,5.38981951005251,0.325,0.522831862153638,0.451366397832391,0.0258017400139709,"Kenya",0.18465027,355.93,6.6399029406,7.34324701068,0.78,0.74,0.05,0.99,5.38981951005251,0.650944385272042,4.7150652809802,4.52945220281994,4.90828462436667,3,5.38981951005251
"Kiribati",2015,296,9.43,NA,NA,0.438,0.455111111111111,0.507555555555556,0.0373333333333333,"Kiribati",0.034062576,NA,NA,NA,0.63,0.57,0.06,0.97,NA,NA,7.2706874834326,6.8887128915824,7.67384231477245,2,7.2706874834326
