"cc","year","iso","wic_mys","adj_factor","qamys_piaac","highLS","prop_19","prop_20_64","prop_65","country","illiterate_prop","hlo_mean","qamys_dhs_full","qamys_dhs_part","tot_dep","youth_dep","old_dep","above_sec","bach_n_higher","master_n_above","sex_ratio","qamys"
"Kazakhstan",2015,398,11.31,0.949768423781668,10.7418808729707,0.914,0.331415789592301,0.60104009375493,0.0675441166527687,"Kazakhstan",0.0021836853,536.11,NA,NA,0.5,0.4,0.1,0.253,0,0,0.94,10.7418808729707
"Kenya",2015,404,8.28,0.650944385272043,5.38981951005251,0.325,0.522831862153638,0.451366397832391,0.0258017400139709,"Kenya",0.18465027,355.93,6.6399029406,7.34324701068,0.78,0.74,0.05,0.174,0.024,0.004,0.99,5.38981951005251
"Kiribati",2015,296,9.43,NA,NA,0.438,0.455111111111111,0.507555555555556,0.0373333333333333,"Kiribati",0.034062576,NA,NA,NA,0.63,0.57,0.06,0.032,0,0,0.97,NA
"Kuwait",2015,414,8.05,NA,NA,0.326,0.264310576996367,0.715058817551259,0.0206306054523743,"Kuwait",0.040740433,372.3,NA,NA,0.3,0.27,0.03,0.15,0,0,1.35,NA
"Kyrgyzstan",2015,417,10.86,NA,NA,0.869,0.39841445742051,0.558792941778194,0.0427926008012957,"Kyrgyz Republic",0.0041400146,362.14,NA,NA,0.55,0.48,0.07,0.156,0,0,0.98,NA
"Lao People's Democratic Republic",2015,418,6.48,NA,NA,0.26,0.444307729243882,0.5168434794352,0.0388487913209189,"Laos",0.15338959,NA,NA,NA,0.6,0.54,0.06,0.133,0,0,0.99,NA
"Latvia",2015,428,12.59,NA,NA,0.869,0.195042400521853,0.612123036780571,0.192834562697576,"Latvia",0.0011068726,508.22,NA,NA,0.52,0.23,0.29,0.592,0.208,0.067,0.85,NA
"Lebanon",2015,422,10.39,NA,NA,0.461,0.335190375281974,0.583378904914895,0.0814307198031308,"Lebanon",0.049305573,454.42,NA,NA,0.47,0.35,0.12,0.235,0,0,1.01,NA
"Lesotho",2015,426,7.61,NA,NA,0.194,0.471537612654037,0.484044509839985,0.0444178775059776,"Lesotho",0.10093046,323.52,6.33551333989,6.98805900634,0.67,0.6,0.07,0.08,0,0,0.94,5.068410671912
"Liberia",2015,430,4.87,NA,NA,0.21,0.529556869194186,0.440197342104094,0.0302457887017201,"Liberia",0.51698639,273.71,1.82709478429,2.59536105476,0.83,0.78,0.06,0.022,0,0,1.02,1.461675827432
