iso,year,c_exp_
336,1980,16885.87
336,1985,19552.84
336,1990,14871.88
336,1995,14854.39
336,2000,15397.13
336,2005,17003.81
336,2010,15312.97
336,2015,15974.45
340,1970,241.9279
340,1975,127.5983
340,1980,126.6602
340,1985,3576.543
340,1990,237.9592
340,1995,263.2279
340,2000,6809.372
340,2005,8457.155
340,2010,1297.774
340,2015,1399.306
344,1970,720.0542
344,1975,977.7189
344,1980,1556.677
344,1985,2164.169
344,1990,3316.929
344,1995,4367.647
344,2000,7800.755
344,2005,9060.188
344,2010,9949.648
344,2015,10508.73
348,1970,995.8151
348,1975,995.8151
348,1980,995.8151
348,1985,4862.052
348,1990,4862.052
348,1995,3996.109
348,2000,5541.452
348,2005,6341.327
348,2010,5440.923
348,2015,6160.812
352,1970,15227.4
352,1975,17890.72
352,1980,17636.33
352,1985,19025.02
352,1990,535.7486
352,1995,748.5855
352,2000,1087.892
352,2005,1414.688
352,2010,1455.726
352,2015,1694.587
356,1970,2061.291
356,1975,3094.837
356,1980,2526.259
356,1985,2324.528
356,1990,2642.089
356,1995,26618.09
356,2000,32316.46
356,2005,36824.65
356,2010,58928.34
356,2015,3846.83
360,1970,2374.827
360,1975,1066.833
360,1980,1630.338
360,1985,2103.557
360,1990,3368.211
360,1995,4138.269
360,2000,13028.56
360,2005,18785.23
360,2010,25493.7
360,2015,32974.08
364,1970,5242.149
364,1975,10748.8
364,1980,8129.649
364,1985,6102.32
364,1990,6378.823
364,1995,8564.736
364,2000,10865.65
364,2005,13570.02
364,2010,11939.81
364,2015,13996.3
368,1970,3309.508
368,1975,779.0851
368,1980,705.8507
368,1985,1316.375
368,1990,4813.628
368,1995,4206.674
368,2000,5206.961
368,2005,5233.209
368,2010,3012.543
368,2015,3422.213
372,1970,1751.11
372,1975,2590.122
372,1980,3307.342
372,1985,3588.184
372,1990,4343.535
372,1995,5577.859
372,2000,7608.324
372,2005,11155.11
372,2010,12314.05
372,2015,11370.15
376,1970,3309.508
376,1975,4163.505
376,1980,5563.571
376,1985,5730.919
376,1990,7865.519
376,1995,12295.02
376,2000,13023.58
376,2005,13842.8
376,2010,16977.37
376,2015,19599.22
380,1970,31776.82
380,1975,43964.77
380,1980,61296.16
380,1985,67034.32
380,1990,75737
380,1995,78557.33
380,2000,86259.19
380,2005,87358.13
380,2010,79709.85
380,2015,75288.52
384,1970,718.292
384,1975,1121.54
384,1980,1093.427
384,1985,129.3977
384,1990,1029.974
384,1995,828.4073
384,2000,830.0373
384,2005,945.0893
384,2010,1180.894
384,2015,1807.378
388,1970,404.7617
388,1975,532.7784
388,1980,811.1677
388,1985,421.6255
388,1990,435.4956
388,1995,484.5777
388,2000,612.7681
388,2005,795.7777
388,2010,843.9174
388,2015,749.2235
392,1970,2458.631
392,1975,3547.708
392,1980,6481.832
392,1985,9209.552
392,1990,15042.12
392,1995,13338.91
392,2000,2826.489
392,2005,3339.171
392,2010,173122.8
392,2015,156022.1
398,1970,204.0663
398,1975,204.0663
398,1980,204.0663
398,1985,204.0663
398,1990,204.0663
398,1995,2021.212
