iso,year,edu_exp_
504,2010,3.742475
504,2015,3.969367
508,1970,3.576668
508,1975,3.702188
508,1980,4.530663
508,1985,4.647418
508,1990,6.073288
508,1995,2.591505
508,2000,3.71592
508,2005,4.3522
508,2010,6.2778
508,2015,5.925233
512,1970,3.685292
512,1975,3.981776
512,1980,4.347406
512,1985,3.454305
512,1990,3.18043
512,1995,3.614574
512,2000,3.894194
512,2005,3.85477
512,2010,4.97011
512,2015,3.991761
516,1970,4.18744
516,1975,5.398189
516,1980,6.666216
516,1985,5.843262
516,1990,6.260648
516,1995,7.21755
516,2000,6.803227
516,2005,6.32022
516,2010,5.72638
516,2015,6.504739
524,1970,2.268256
524,1975,2.329819
524,1980,2.519711
524,1985,2.6203
524,1990,2.694158
524,1995,2.893095
524,2000,3.224532
524,2005,3.791228
524,2010,3.740636
524,2015,4.70665
528,1970,6.209336
528,1975,6.228242
528,1980,5.585616
528,1985,5.600953
528,1990,4.952575
528,1995,4.53016
528,2000,4.838812
528,2005,5.100172
528,2010,5.469562
528,2015,5.41388
531,1970,5.809939
531,1975,6.181745
531,1980,4.281818
531,1985,3.532633
531,1990,4.105412
531,1995,4.152601
531,2000,4.537179
531,2005,4.492093
531,2010,4.93095
531,2015,4.496346
533,1970,5.809939
533,1975,6.181745
533,1980,4.281818
533,1985,3.532633
533,1990,4.105412
533,1995,4.579725
533,2000,4.696668
533,2005,5.105095
533,2010,6.51369
533,2015,6.335825
540,1970,5.643403
540,1975,6.29366
540,1980,8.249955
540,1985,5.863735
540,1990,5.162165
540,1995,6.148912
540,2000,6.751278
540,2005,7.891088
540,2010,5.500103
540,2015,5.582323
548,1970,5.643403
548,1975,6.29366
548,1980,8.249955
548,1985,5.863735
548,1990,4.38802
548,1995,6.901825
548,2000,8.132065
548,2005,5.39799
548,2010,4.91083
548,2015,5.12262
554,1970,4.750015
554,1975,4.815026
554,1980,4.312895
554,1985,4.02762
554,1990,5.92605
