"iso","year","qamys_dhs_full","qamys_dhs_part"
348,1995,NA,NA
348,2000,NA,NA
348,2005,NA,NA
348,2010,NA,NA
348,2015,NA,NA
352,1970,NA,NA
352,1975,NA,NA
352,1980,NA,NA
352,1985,NA,NA
352,1990,NA,NA
352,1995,NA,NA
352,2000,NA,NA
352,2005,NA,NA
352,2010,NA,NA
352,2015,NA,NA
356,1970,NA,NA
356,1975,NA,NA
356,1980,NA,NA
356,1985,NA,NA
356,1990,NA,NA
356,1995,NA,NA
356,2000,NA,NA
356,2005,3.88530700077,3.5863310202
356,2010,NA,NA
356,2015,5.43187507502,5.04561081746
360,1970,NA,NA
360,1975,NA,NA
360,1980,NA,NA
360,1985,NA,NA
360,1990,NA,NA
360,1995,NA,NA
360,2000,6.81164341053,6.27869868472
360,2005,7.33614808115,6.795581863
360,2010,8.07921149854,7.72105361706
360,2015,8.78594627064,8.57523014964
364,1970,NA,NA
364,1975,NA,NA
364,1980,NA,NA
364,1985,NA,NA
364,1990,NA,NA
364,1995,NA,NA
364,2000,NA,NA
364,2005,NA,NA
364,2010,NA,NA
364,2015,NA,NA
368,1970,NA,NA
368,1975,NA,NA
368,1980,NA,NA
368,1985,NA,NA
368,1990,NA,NA
368,1995,NA,NA
368,2000,NA,NA
368,2005,NA,NA
368,2010,NA,NA
368,2015,NA,NA
372,1970,NA,NA
372,1975,NA,NA
372,1980,NA,NA
372,1985,NA,NA
372,1990,NA,NA
372,1995,NA,NA
372,2000,NA,NA
372,2005,NA,NA
372,2010,NA,NA
372,2015,NA,NA
376,1970,NA,NA
376,1975,NA,NA
376,1980,NA,NA
376,1985,NA,NA
376,1990,NA,NA
376,1995,NA,NA
376,2000,NA,NA
376,2005,NA,NA
376,2010,NA,NA
376,2015,NA,NA
380,1970,NA,NA
380,1975,NA,NA
380,1980,NA,NA
380,1985,NA,NA
380,1990,NA,NA
380,1995,NA,NA
380,2000,NA,NA
380,2005,NA,NA
380,2010,NA,NA
380,2015,NA,NA
388,1970,NA,NA
388,1975,NA,NA
388,1980,NA,NA
388,1985,NA,NA
388,1990,NA,NA
388,1995,NA,NA
388,2000,NA,NA
388,2005,NA,NA
388,2010,NA,NA
388,2015,NA,NA
392,1970,NA,NA
392,1975,NA,NA
392,1980,NA,NA
392,1985,NA,NA
392,1990,NA,NA
392,1995,NA,NA
392,2000,NA,NA
